Time (ms),Altitude (m),Velocity (ms-1),Acceleration (ms-2),State Detection
9920,95.79,2.25,-9.2,
9930,94.96,0.41,-10.5,
9940,95.27,0.88,-11.7,
9950,95.92,1.82,-8.43,
9960,95.16,1.85,-8.1,
9970,95.54,1.77,-8.6,
9980,95.35,2.67,-10.81,
9990,95.59,2.52,-8.57,
10000,95.64,2.27,-9.16,
10010,95.22,0.95,-12.15,
10020,95.3,0.27,-8.43,
10030,95.47,-1.23,-6.86,
10040,95.58,1.37,-10.51,
10050,95.59,-0.2,-10.78,
10060,95.17,0.01,-8.83,
10070,95.42,-0.38,-8.37,
10080,95.78,-0.74,-9.21,
10090,95.42,-0.41,-10.32,
10100,96.09,-1.22,-9.55,
10110,95.04,0.17,-9.56,
10120,95.62,-0.55,-11.64,
10130,95.53,-0.91,-11.57,
10140,95,-0.19,-6.12,
10150,95.49,-0.72,-9.28,
10160,96.42,-0.57,-8.93,
10170,95.43,-0.49,-8.78,
10180,95.35,0.59,-7.61,
10190,95.38,-0.08,-10.53,
10200,96.16,-0.46,-11.2,Landing Detected
10210,95.42,-1.47,-11.79,
10220,95.56,-0.69,-10.44,
10230,95.37,-0.9,-9.43,
10240,95.67,-2,-11.52,
10250,95.64,-0.29,-11.89,
10260,95.51,-1.6,-9.26,
10270,95.34,-2.56,-10.03,
10280,95.72,-0.97,-9.27,
10290,95.52,-3.07,-8.3,
10300,95.59,-1.46,-11.28,
10310,95.34,-1.45,-11.02,
10320,95.17,-2.26,-8.95,
10330,95.23,-2.5,-8.13,
10340,95.22,-3.45,-8.67,
10350,95.07,-2.99,-7.59,
10360,94.99,-2.44,-10.33,
10370,95.32,-2.09,-10.69,
10380,94.84,-3.6,-9.08,
10390,95.12,-3.18,-8.83,
10400,94.77,-1.92,-11.11,
10410,95.24,-2.89,-9.59,
10420,95.23,-3.05,-10.65,
10430,94.78,-3.07,-9.49,
10440,95.09,-4.92,-9.76,
10450,95.17,-4.2,-10.44,
10460,95.26,-3.34,-8.33,
10470,94.8,-2.69,-9.48,
10480,94.76,-2.46,-11.89,
10490,95.2,-3.38,-8.93,
10500,95.01,-5.25,-8.26,
10510,95.13,-3.5,-10.09,
10520,94.91,-3.49,-9.41,
10530,94.14,-3.76,-10.43,
10540,94.46,-4.14,-9.92,
10550,94.09,-2.99,-10.68,
10560,94.95,-5.17,-9.96,
10570,94.48,-5.3,-11.33,
10580,94.41,-4.51,-8.97,
10590,94.49,-4.42,-9.26,
10600,94.28,-5.25,-10.47,
10610,94.16,-5.49,-9.85,
10620,94.14,-4.43,-11.04,
10630,94.36,-4.51,-9.75,
10640,94.47,-5.42,-10.43,
10650,93.49,-6.1,-9.41,
10660,93.83,-3.84,-10.82,
10670,93.65,-5.53,-11.4,
10680,93.9,-6.67,-7.9,
10690,93.91,-6.76,-10.01,
10700,93.87,-5.2,-10.18,
10710,93.9,-5.59,-9.47,
10720,93.11,-6.49,-9.57,
10730,93.6,-4.74,-11.41,
10740,93.35,-6.34,-9.95,
10750,93.6,-6.92,-10.1,
10760,93.8,-6.32,-9.67,
10770,93.49,-5.99,-8.02,
10780,93.29,-6.89,-9.02,
10790,93.34,-8.48,-11.91,
10800,93.22,-8.47,-9.86,
10810,93.02,-6.77,-9.68,
10820,93.17,-7.54,-9.89,
10830,92.4,-7.13,-11.73,
10840,92.87,-7.64,-9.82,
10850,92.83,-7.45,-9.98,
10860,92.56,-7.43,-9.92,
10870,92.97,-8.7,-9.58,
10880,92.4,-7.51,-10.2,
10890,92.35,-7.14,-8.17,
10900,92.3,-7.07,-10.24,
10910,92.19,-9.13,-9.52,
10920,92.43,-8.23,-10.23,
10930,91.74,-6.86,-11.56,
10940,91.78,-7.83,-9.65,
10950,91.56,-7.83,-10.34,
10960,92.07,-8.33,-8.6,
10970,91.73,-9.09,-8.74,
10980,91.35,-11.42,-9.99,
10990,91.89,-8.88,-11.11,
11000,91.39,-7.75,-9.87,
11010,91.47,-9.84,-9.85,
11020,91.67,-8.98,-7.3,
11030,91.25,-8.04,-10.3,
11040,90.56,-10.43,-10.75,
11050,90.93,-9.41,-9.56,
11060,90.74,-9.7,-10.95,
11070,90.35,-9.83,-9.89,
11080,90.99,-9.35,-11.2,
11090,90.95,-10.86,-8.77,
11100,90.4,-10.5,-10.28,
11110,90.16,-8.72,-8.33,
11120,90.47,-11.71,-11.95,
11130,89.98,-10.07,-9.75,
11140,90.1,-10.23,-10.51,
11150,89.93,-10.68,-11.57,
11160,89.82,-10.47,-11.5,
11170,89.96,-10.44,-8.98,
11180,89.75,-10.28,-10.75,
11190,89.74,-9.82,-10.16,
11200,89.78,-10.92,-8.27,
11210,89.74,-11.62,-9.58,
11220,89.36,-10.93,-8.44,
11230,88.92,-11.87,-10.2,
11240,89.43,-12.39,-9.89,
11250,88.98,-12.53,-9.91,
11260,88.9,-11.77,-9.71,
11270,88.85,-11.35,-9.01,
11280,88.5,-12.54,-8.8,
11290,88.41,-12.58,-11.1,
11300,88.05,-12.65,-9.29,
11310,88.1,-12.35,-8.67,
11320,87.78,-11.14,-12.01,
11330,87.95,-11.44,-8.98,
11340,87.88,-12.75,-9.26,
11350,87.86,-13.14,-9.63,
11360,87,-12.27,-7.58,
11370,87.42,-12.19,-10.64,
11380,87.12,-12.57,-9.03,
11390,87.17,-11.65,-10.38,
11400,87.19,-13.61,-9.32,
11410,87.16,-12.53,-11.25,
11420,86.63,-12.92,-9.11,
11430,87.06,-12.92,-8.12,
11440,86.48,-13.06,-9.81,
11450,86.38,-13.39,-8.06,
11460,86.49,-14.47,-10.36,
11470,86.14,-12.37,-8.16,
11480,86.4,-14.11,-10.92,
11490,86.13,-13.37,-8.36,
11500,86.19,-14.18,-11.12,
11510,85.68,-13.46,-9.22,
11520,85.86,-14.72,-9.1,
11530,85.14,-13.06,-9.97,
11540,84.92,-15.43,-9.98,
11550,84.81,-14.46,-8.75,
11560,85.39,-14.08,-10.38,
11570,84.38,-14.37,-9.21,
11580,84.62,-15.25,-10.36,
11590,84.51,-15.21,-9.39,
11600,84.52,-13.79,-10.82,
11610,84.19,-15.77,-11.17,
11620,84.12,-15.34,-8.85,
11630,84.02,-15.68,-8.88,
11640,83.69,-15.69,-9.8,
11650,83.69,-16.25,-9.95,
11660,82.85,-15.48,-9.96,
11670,83.3,-15.91,-8.09,
11680,83.51,-15.07,-9.15,
11690,83.18,-16,-12.5,
11700,83.18,-15.61,-10.45,
11710,82.98,-16.24,-7.42,
11720,82.54,-17.14,-11.61,
11730,82.45,-16.75,-7.92,
11740,82.05,-16.95,-11.85,
11750,82.36,-15.93,-10.3,
11760,81.8,-15.2,-10.66,
11770,81.24,-16.18,-10.43,
11780,81.65,-16.94,-11.65,
11790,81.05,-16.03,-8.68,
11800,81.29,-15.99,-10.89,
11810,81.18,-15.86,-10.1,
11820,80.38,-18.01,-9.12,
11830,80.53,-16.74,-9.88,
11840,80.52,-19.2,-8.24,
11850,80.28,-16.55,-11.75,
11860,80.59,-17.07,-9.64,
11870,80.05,-19.43,-9.4,
11880,80.11,-17.9,-9.5,
11890,79.44,-17.42,-9.1,
11900,79.87,-18.6,-10.58,
11910,79.58,-17.16,-10.41,
11920,79.19,-19.55,-10.21,
11930,79.32,-17.51,-9.95,
11940,78.79,-17.64,-10.52,
11950,78.27,-17.95,-10.04,
11960,78.59,-18.54,-11.74,
11970,78.56,-17.23,-12.34,
11980,78.19,-19.02,-8.56,
11990,77.6,-17.17,-9.86,
12000,77.3,-18.42,-9.69,
12010,77.54,-19.78,-10.34,
12020,77.13,-21.27,-9.76,
12030,76.92,-18.4,-8.73,
12040,76.94,-19.33,-9.53,
12050,76.55,-20.85,-8.87,
12060,76.03,-20.63,-8.69,
12070,76.74,-18.08,-10.35,
12080,75.82,-18.72,-9.34,
12090,76.13,-19.87,-9.2,
12100,75.59,-20.81,-9.36,
12110,76,-20.92,-11.62,
12120,75.44,-20.33,-9.89,
12130,74.83,-19.15,-9.71,
12140,74.7,-19.88,-10.06,
12150,74.57,-20.48,-10.53,
12160,74.67,-21.73,-11.03,
12170,74.33,-21.4,-9.65,
12180,73.39,-20.81,-11.13,
12190,74.01,-20.59,-10.76,
12200,74.03,-20.69,-9.6,
12210,73.1,-21.02,-10.54,
12220,73.87,-21.67,-10.62,
12230,73.05,-21.21,-9.68,
12240,72.88,-22.14,-10.64,
12250,72.46,-20.65,-9.43,
12260,72.12,-20.17,-8.3,
12270,72.04,-22.08,-9.84,
12280,72.53,-20.77,-10.51,
12290,72.12,-21.86,-9.93,
12300,71.16,-20.85,-10.96,
12310,71.3,-21.82,-8.33,
12320,71.37,-21.63,-11.1,
12330,71.09,-22.78,-10.16,
12340,70.7,-20.16,-9.08,
12350,70.07,-20.73,-8.38,
12360,70.49,-23.62,-10.28,
12370,70.22,-20.11,-8.28,
12380,70.15,-20.78,-8.2,
12390,69.23,-22.11,-10.26,
12400,69.38,-22.59,-10.09,
12410,69.54,-21.94,-9.65,
12420,68.69,-22.41,-9.13,
12430,69,-23.03,-9.93,
12440,68.33,-22.01,-9.73,
12450,68.37,-22.82,-7.82,
12460,68.49,-22.6,-7.47,
12470,67.23,-22.36,-10.59,
12480,67.85,-22.7,-9.6,
12490,66.68,-24.07,-9.49,
12500,66.75,-25.14,-9.33,
12510,66.82,-23.66,-8.19,
12520,66.8,-23.83,-10.75,
12530,66.51,-24.44,-9.48,
12540,66.14,-24.38,-8.17,
12550,65.75,-24.46,-10.46,
12560,65.79,-25.22,-11.01,
12570,65.12,-23.6,-6.92,
12580,64.96,-25.22,-11.11,
12590,65.24,-24.37,-11.59,
12600,64.33,-24.72,-10.3,
12610,64.46,-26.09,-10.14,
12620,63.93,-25.7,-10.13,
12630,63.71,-24.15,-10.72,
12640,63.79,-25.69,-10.63,
12650,63.85,-24.75,-8.69,
12660,62.87,-26.47,-10.19,
12670,62.83,-24.52,-9.08,
12680,62.54,-25.61,-10.11,
12690,62.84,-25.38,-9.09,
12700,61.86,-28,-8.74,
12710,61.47,-25.25,-10.29,
12720,61.24,-26.8,-10.48,
12730,61.59,-25.77,-10.39,
12740,61.03,-25.63,-10.03,
12750,60.95,-25.87,-9.8,
12760,60.66,-25.57,-9.89,
12770,60.57,-27.8,-9.54,
12780,60.04,-26.5,-9.25,
12790,59.5,-26.45,-9.33,
12800,59.49,-26.07,-10.53,
12810,58.83,-26.31,-12.27,
12820,58.85,-26.24,-9.23,
12830,58.72,-26.91,-8.75,
12840,58.43,-27.23,-11.83,
12850,57.93,-25.4,-10.15,
12860,57.55,-28.17,-7.03,
12870,57.65,-27.79,-9.68,
12880,57.43,-29.17,-9.12,
12890,57.25,-27.48,-10.03,
12900,56.34,-27.63,-8.55,
12910,56.4,-28.66,-9.61,
12920,56.73,-26.92,-11.41,
12930,56.2,-27.01,-7.54,
12940,55.54,-28.39,-10.36,
12950,54.8,-28.74,-9.36,
12960,55.48,-28.94,-8.96,
12970,54.47,-27.5,-9.01,
12980,54.5,-28.27,-12.68,
12990,54.21,-28.21,-11.46,
13000,54.09,-28.06,-10.93,
13010,53.56,-27.8,-10.26,
13020,53.74,-29.78,-9.53,
13030,52.92,-29.06,-10.37,
13040,52.48,-29.67,-11.59,
13050,52.66,-28.63,-8.2,
13060,52,-29.51,-8.52,
13070,52.34,-29.62,-11.08,
13080,51.36,-30.88,-11.35,
13090,51.08,-29.57,-10.95,
13100,50.84,-30.95,-8.75,
13110,50.71,-30.54,-7.99,
13120,50.37,-29.06,-8.44,
13130,50.42,-29.04,-8.21,
13140,50.15,-29.41,-9.94,
13150,49.33,-30.36,-8.78,
13160,49.04,-30.34,-9.67,
13170,48.9,-30.44,-9.88,
13180,48.66,-30.23,-9.01,
13190,48.45,-30.58,-9.32,
13200,47.84,-31.95,-10.73,
13210,47.46,-30.54,-7.66,
13220,47.15,-32.43,-11.22,
13230,47.05,-30.04,-9.69,
13240,46.85,-30.78,-10.56,
13250,46.52,-30.12,-8.39,
13260,45.86,-30.97,-10.14,
13270,46.1,-30.3,-9.67,
13280,45.77,-29.56,-9.95,
13290,44.96,-30.53,-9.32,
13300,44.58,-31.32,-8.65,
13310,45.01,-32.38,-12.52,
13320,44.69,-30.84,-8.35,
13330,43.46,-31.02,-10.68,
Time (s),Altitude (m),Velocity (ms-1),Acceleration (ms-2),State Detection
0,0,0,0,
0,-0.03,0.68,-10.03,
31.45,-0.26,-0.56,-9.37,
62.89,0.32,-1.13,-10.22,
94.34,0.19,0.8,-8.46,
125.79,0.35,-0.39,-9.53,
157.23,-0.06,-0.26,-10.57,
188.68,0.06,-1.11,-9.18,
220.13,-0.22,-0.32,-9.19,
251.57,0.04,0.49,-10.12,
283.02,-0.83,-0.53,-10.41,
314.47,0.19,-0.23,-10.58,
345.91,-0.03,0.33,-9.91,
377.36,0.27,-0.89,-9.1,
408.81,-0.17,-1.1,-8.32,
440.25,-0.09,0.42,-8.68,
471.7,0.18,0.88,-11.49,
503.14,0.07,0.25,-11,
534.59,0.24,-1.62,-10.02,
566.04,0.02,-0.35,-10.33,
597.48,-0.11,-0.38,-6.98,
628.93,0.26,0.98,-7.71,
660.38,-0.02,-0.06,-9.11,
691.82,0.11,-0.47,-9.38,
723.27,0.06,0.15,-9.45,
754.72,0.26,0.26,-8.68,
786.16,0.36,0.41,-8.75,
817.61,-0.09,-0.34,-7.97,
849.06,0.11,0.08,-9.97,
880.5,-0.24,0.07,-8.78,
911.95,0.33,-0.66,-7.27,
943.4,0.3,-0.34,-7.62,
974.84,-0.15,0.16,-9.35,
1006.29,-0.21,-1.05,-10.43,
1037.74,0.06,-0.3,-10.72,
1069.18,0.04,-0.29,-10.81,
1100.63,0.41,0.34,-10.05,
1132.08,0.3,-0.12,-10.57,
1163.52,-0.34,-0.26,-11.04,
1194.97,-0.27,-0.29,-9.96,
1226.42,0.06,-1.83,-9.18,
1257.86,0.18,0.24,-8.95,
1289.31,0.12,0.07,-10.62,
1320.75,0.05,-2.25,-9.73,
1352.2,-0.01,-0.64,-11.16,
1383.65,-0.24,-1.44,-8.13,
1415.09,0.01,-0.13,-9.29,
1446.54,-0.05,0.09,-9.04,
1477.99,0.3,-0.31,-11.63,
1509.43,-0.61,-0.83,-8.48,
1540.88,-0.25,-1.21,-8.94,
1572.33,-0.33,0.2,-9.53,
1603.77,0.35,0.93,-8.88,
1635.22,-0.08,0.82,-10.73,
1666.67,0.4,1.05,-9.98,
1698.11,-0.24,2.16,-12.97,
1729.56,0.35,0.52,-10.35,
1761.01,0.06,-0.73,-8.23,
1792.45,-0.28,-0.03,-10.39,
1823.9,-0.44,-0.02,-12.19,
1855.35,-0.2,0.11,-8.72,
1886.79,-0.45,0.93,-9.94,
1918.24,0.33,0.24,-9.19,
1949.69,-0.14,-1.29,-9.83,
1981.13,-0.33,-0.57,-10.2,
2012.58,-0.24,-1.18,-10.95,
2044.03,0.45,0.52,-10.78,
2075.47,-0.09,0.94,-9.12,
2106.92,0.24,1.07,-10.76,
2138.36,0.45,-0.7,-8.96,
2169.81,-0.38,-0.47,-10.12,
2201.26,0.38,-0.03,-9.61,
2232.7,-0.17,-0.81,-9.75,
2264.15,-0.11,0.03,-11.75,
2295.6,0.47,0.17,-8.43,
2327.04,-0.22,-0.79,-11.59,
2358.49,-0.06,0.26,-9.38,
2389.94,0.17,-2.02,-9.63,
2421.38,-0.05,0.49,-7.54,
2452.83,-0.35,2.25,-10.29,
2484.28,0.06,-1.14,-9.54,
2515.72,0.07,0.41,-10.47,
2547.17,-0.25,-1.41,-8.64,
2578.62,0.29,1.36,-10.04,
2610.06,-0.04,-0.39,-9.38,
2641.51,-0.18,-0.69,-10.82,
2672.96,-0.13,1.26,-10.53,
2704.4,-0.89,0.48,-10.8,
2735.85,-0.49,-0.63,-10.84,
2767.3,-0.42,-0.57,-10.22,
2798.74,-0.21,1.05,-10.82,
2830.19,-0.02,0.75,-9.35,
2861.64,-0.5,-0.26,-8.88,
2893.08,-0.11,-0.31,-10.48,
2924.53,-0.06,0.68,-10.71,
2955.98,-0.32,-0.91,-10.84,
2987.42,0.22,-1.2,-10.17,
3018.87,0.17,-0.03,-11.37,
3050.31,-0.05,0.92,-7.7,
3081.76,0.3,0.33,-8.97,
3113.21,0.72,1.46,-9.62,
3144.65,-0.3,1.05,-8.93,
3176.1,-0.23,-0.93,-9.3,
3207.55,0.45,0.02,-9.08,
3238.99,-0.14,1.64,-11.41,
3270.44,0.09,0.92,-10.71,
3301.89,-0.26,0.94,-10.2,
3333.33,0,-1.48,-9.39,
3364.78,0.41,0.03,-8.31,
3396.23,-0.19,-0.9,-11.84,
3427.67,0.61,1.33,-8.25,
3459.12,0.18,0.4,-9.08,
3490.57,0.11,0.54,-9.59,
3522.01,0.06,-0.57,-12.37,
3553.46,-0.48,-0.06,-9.24,
3584.91,0.57,0.47,-8.2,
3616.35,-0.45,0.43,-10.53,
3647.8,-0.13,0.02,-9.1,
3679.25,-0.19,-0.21,-10.26,
3710.69,0.26,-1.53,-12.18,
3742.14,0.22,-0.14,-9.01,
3773.58,0.14,0.63,-11.83,
3805.03,-0.11,-0.09,-7.79,
3836.48,0.46,0.57,-8.82,
3867.92,-0.54,0.94,-11.25,
3899.37,-0.45,-0.15,-10.66,
3930.82,-0.07,-0.43,-9.75,
3962.26,-0.04,-0.53,-7.68,
3993.71,0.02,-0.77,-9.04,
4025.16,0.28,-1.02,-9.67,
4056.6,-0.69,0.86,-11.06,
4088.05,0.22,0.36,-7.54,
4119.5,-0.24,0.5,-7.27,
4150.94,0,0.07,-12.5,
4182.39,-0.02,-0.12,-10.39,
4213.84,0.15,1.08,-9.45,
4245.28,-0.2,-1.15,-11.18,
4276.73,-0.03,0.07,-9.6,
4308.18,-0.21,-0.37,-12.53,
4339.62,-0.07,0.44,-8.82,
4371.07,-0.23,0.28,-9.49,
4402.52,0.58,0.86,-9.51,
4433.96,-0.62,-0.38,-9.11,
4465.41,-0.08,-0.31,-10.07,
4496.86,0,-1.02,-9.49,
4528.3,0.2,0.65,-10.53,
4559.75,-0.55,0.38,-9.77,
4591.19,-0.32,-1.33,-9.64,
4622.64,0.41,-0.13,-8.88,
4654.09,0.23,0.03,-9.2,
4685.53,0.2,-0.1,-11.61,
4716.98,-0.1,-0.57,-11.85,
4748.43,-0.03,0.18,-11.34,
4779.87,0.29,1.12,-9.95,
4811.32,-0.15,0.11,-8.11,
4842.77,-0.37,-0.15,-8.94,
4874.21,0.18,-0.03,-11.67,
4905.66,-0.34,-0.16,-7.51,
4937.11,-0.17,-0.06,-9.51,
4968.55,0.21,1.05,-10.55,
5000,0.43,-0.25,-11.17,
5000,0.06,1.05,-10.85,
5240,-0.2,3.13,37.86,Launch Detected
5250,0.11,4,38.25,
5260,-0.27,2.86,36.18,
5270,-0.25,5.15,36.54,
5280,0.65,4.47,36.84,
5290,0.37,4.02,37.45,
5300,0.48,6.01,42.36,
5310,0.15,5.56,43.11,
5320,0.48,6.3,42.38,
5330,-0.08,5.74,41.26,
5340,0.6,7.02,43.08,
5350,0.33,5.78,43.52,
5360,0.61,6.4,42.77,
5370,0.32,8.12,42.45,
5380,0.62,6.95,43.54,
5390,0.35,9.1,43.42,
5400,1.17,9.58,42.53,
5410,0.47,8.83,43.43,
5420,1.22,10.2,41.4,
5430,1.24,8.8,41.87,
5440,1.81,10.81,41.81,
5450,1.31,11.2,44.78,
5460,1.3,10.9,43.43,
5470,1.94,11.28,42.96,
5480,1.8,12.53,43.13,
5490,1.67,12.87,43.34,
5500,2.27,12.86,45.61,
5510,2.37,13.96,42.19,
5520,1.94,14.41,44.84,
5530,2.61,15.63,43.85,
5540,2.68,15.55,45.41,
5550,2.72,15.29,41.93,
5560,2.69,15.62,43.6,
5570,2.99,16.42,44.83,
5580,3.62,17.83,43.84,
5590,3.61,17.21,42.86,
5600,3.34,18.25,41.99,
5610,3.5,16.4,39.78,
5620,3.82,18.51,43.11,
5630,4.45,18.13,44.96,
5640,4.33,20.08,43.46,
5650,4.3,19.56,44.7,
5660,4.74,20.08,41.97,
5670,5.18,21.93,44.63,
5680,5.21,20.9,40.23,
5690,5.26,21.41,42.91,
5700,5.87,21.7,44.44,
5710,5.77,22.58,44.82,
5720,5.8,21.97,44.3,
5730,6.1,23.31,44.3,
5740,6.38,21.68,41.41,
5750,6.47,25.18,42.8,
5760,7.3,24.01,42.12,
5770,7.1,24.01,43.11,
5780,7.32,24.41,43.31,
5790,7.9,26.18,44.15,
5800,8.44,25.15,44.49,
5810,8.32,26.85,42.31,
5820,8.82,28.61,44.16,
5830,9.05,27.8,41.9,
5840,9.35,28.08,42.64,
5850,9.36,27.68,40.46,
5860,9.99,28.08,42.38,
5870,9.69,29.69,41.87,
5880,9.87,29.44,42.45,
5890,10.32,28.92,42.77,
5900,10.85,29.76,39.44,
5910,10.85,30.69,39.26,
5920,11.11,32.72,40.02,
5930,11.26,32.63,40.68,
5940,12.36,32.79,40.4,
5950,12.53,32.52,39.18,
5960,12.73,32.6,37.76,
5970,13.21,33.13,41.68,
5980,13.33,32.67,41.65,
5990,13.87,33.88,38.72,
6000,13.83,35.47,35.5,
6010,14.35,34.59,36.56,
6020,14.95,36.07,34.58,
6030,15.18,35.09,35.26,
6040,15.93,37.16,37.01,
6050,15.98,37.69,34.48,
6060,16.14,36.93,37.79,
6070,16.48,36.34,36.3,
6080,16.78,38.63,34.45,
6090,17.34,37.76,36.64,
6100,17.8,38.49,0.76,
6110,18.1,39.12,3.71,
6120,18.32,39.55,1.38,
6130,19.17,37.68,0.54,
6140,19.05,37.26,1.76,
6150,19.07,37.49,1.08,
6160,19.3,38.42,2.99,
6170,20.38,36.75,0.71,
6180,20.71,37.69,0.54,
6190,21.01,37.66,-0.55,
6200,21.03,38.95,-10.43,
6210,21.75,38.59,-8.65,
6220,22.36,39.2,-11.43,
6230,22.46,38.05,-9.93,
6240,22.56,36.63,-11.06,
6250,23.19,37.69,-10.19,
6260,23.8,36.15,-10.44,
6270,24.16,37.25,-8.84,
6280,24.41,36.32,-10.68,
6290,24.4,37.7,-7.09,
6300,25.05,36.71,-9.99,
6310,25.4,37.96,-9.53,
6320,25.86,37.72,-8.96,
6330,26.64,36.51,-8.79,
6340,26.81,37.91,-7.82,
6350,26.7,36.49,-8.29,
6360,27.57,37.21,-10.43,
6370,27.59,36.16,-10.74,
6380,28.52,37.53,-9.24,
6390,28.44,36.09,-7.78,Burnout Detected
6400,28.95,37.18,-9.93,
6410,29.57,36.81,-8.99,
6420,29.38,35.86,-9.97,
6430,29.92,37.43,-9.96,
6440,30.35,36.73,-11.62,
6450,30.44,36.27,-8.82,
6460,30.77,36.01,-10.69,
6470,31.58,36.86,-10.95,
6480,31.63,35.4,-10.83,
6490,32.1,35.6,-7.24,
6500,31.89,34.12,-10.05,
6510,32.57,36.15,-10.95,
6520,32.68,34.65,-10.47,
6530,33.39,35.04,-8.88,
6540,33.52,34.64,-9.58,
6550,34.46,34.28,-11.74,
6560,34.17,34.32,-9.31,
6570,34.67,33.95,-12.61,
6580,35.37,33.47,-11.52,
6590,35.62,33.75,-8.75,
6600,36.03,32.48,-10.94,
6610,35.96,33.82,-10.71,
6620,36.69,34.87,-8.07,
6630,36.72,34.05,-7.95,
6640,37.71,34.98,-7.63,
6650,37.99,33.51,-9.05,
6660,38.42,32.87,-8.62,
6670,38.44,32.51,-11.53,
6680,38.51,34.34,-9.74,
6690,38.92,33.78,-9.89,
6700,39.06,32.69,-11.37,
6710,39.94,33.56,-9,
6720,40.02,33.31,-9.7,
6730,40.16,34.01,-7.97,
6740,40.46,32.6,-10.96,
6750,41.19,33.45,-9.23,
6760,41.51,32.8,-8.73,
6770,41.82,32.12,-12.38,
6780,42.21,33.18,-9.9,
6790,42.76,32.66,-11.39,
6800,42.33,31.6,-10.99,
6810,42.82,32.38,-8.87,
6820,43.6,31.69,-8.12,
6830,43.41,32.07,-9.57,
6840,43.69,30.68,-10,
6850,43.88,29.17,-9.57,
6860,44.2,32.37,-9.2,
6870,44.55,31.06,-10.22,
6880,45.86,29.47,-10.01,
6890,45.18,32.24,-7.81,
6900,46.08,30.08,-10.94,
6910,45.82,31.28,-10.47,
6920,46.52,31.3,-8.54,
6930,46.54,30.16,-7.11,
6940,47.18,31.67,-7.18,
6950,47.26,30.13,-8.13,
6960,47.43,30.62,-9.06,
6970,47.63,31.43,-8.51,
6980,48.17,31.04,-7.92,
6990,48.69,30.36,-9.81,
7000,48.46,30.01,-9.65,
7010,49.05,30.42,-10.41,
7020,49.21,29.52,-9.36,
7030,49.26,28.6,-10.18,
7040,49.77,29.15,-10.54,
7050,50.52,30.11,-8.97,
7060,50.56,30.15,-8.09,
7070,50.53,28.89,-8.49,
7080,51.17,29.46,-10.06,
7090,51.68,29.63,-9.97,
7100,51.91,28.76,-9.86,
7110,51.88,28.49,-11.46,
7120,52.25,29.46,-8.85,
7130,52.89,28.9,-9.1,
7140,52.97,28.33,-8.19,
7150,53.05,28.5,-10.18,
7160,53.08,28.65,-12.12,
7170,53.75,27.45,-9.69,
7180,54.25,28.85,-9.41,
7190,54.41,28.68,-8.23,
7200,54.79,27.5,-7.53,
7210,55.09,25.19,-11.3,
7220,55.11,29.12,-10.02,
7230,55.47,27.41,-10.28,
7240,55.93,27.9,-10.93,
7250,56.05,27.35,-8.44,
7260,56.45,28.33,-10.72,
7270,56.51,26.06,-9.67,
7280,56.62,27.66,-11.61,
7290,57.93,28.07,-8.8,
7300,57.79,28.78,-9.84,
7310,57.24,27.19,-9.26,
7320,57.94,28.01,-9.1,
7330,58.39,26.72,-11.15,
7340,58.73,26.98,-9.02,
7350,58.45,27.69,-11.32,
7360,59.4,28.58,-10.86,
7370,59.1,26.13,-7.83,
7380,59.54,25.82,-11.21,
7390,59.85,27.83,-9.03,
7400,60.42,26.91,-11.26,
7410,60.65,25.23,-9.63,
7420,60.6,27.29,-11.45,
7430,60.98,25.56,-8.53,
7440,61.49,26.48,-11.55,
7450,61.63,26.39,-8.67,
7460,61.39,26.42,-9.92,
7470,61.67,25.18,-9.45,
7480,62.14,26.12,-9.89,
7490,62.79,24.52,-10.74,
7500,62.31,25.39,-11.39,
7510,62.4,23.54,-7.52,
7520,63.42,26.08,-9.55,
7530,63.34,24.72,-9.18,
7540,63.71,24.89,-12.02,
7550,63.85,25.55,-9.54,
7560,64.39,24.88,-10.63,
7570,63.97,24.75,-9.88,
7580,64.55,24.47,-10.76,
7590,65.4,24.15,-11.92,
7600,65.06,24.76,-11.77,
7610,65.28,23.98,-12.6,
7620,65.76,24.15,-11.68,
7630,65.66,22.23,-11.9,
7640,66.21,23.32,-10.04,
7650,66.74,24.45,-10.39,
7660,66.75,22.59,-10.57,
7670,66.79,23.16,-8.41,
7680,67.02,24,-9.19,
7690,67.72,22.73,-10.39,
7700,67.21,23,-10.9,
7710,67.64,22.82,-10.26,
7720,68.04,23.81,-6.79,
7730,67.92,21.22,-9.77,
7740,68.7,21.97,-9.82,
7750,68.75,21.31,-10.86,
7760,69.36,22.12,-9.66,
7770,69.58,23.85,-8.78,
7780,69.04,24.34,-12.05,
7790,69.95,22.27,-9.74,
7800,70.36,22.93,-11.13,
7810,70.17,22.76,-10.79,
7820,70.19,23.05,-9.99,
7830,70.63,22.83,-8.93,
7840,71.3,22.33,-9.56,
7850,71.01,21.51,-10.24,
7860,71.25,23.34,-7.88,
7870,71.37,21.74,-9.57,
7880,71.75,23.27,-12.07,
7890,71.79,21.36,-10.64,
7900,72.01,22.8,-7.49,
7910,72.45,20.66,-8.86,
7920,72.31,20.28,-10.32,
7930,73.13,20.4,-10.28,
7940,72.96,20.5,-9.44,
7950,73.37,19.78,-7.65,
7960,73.62,20.5,-9.89,
7970,73.58,19.3,-9.44,
7980,74.03,21.54,-12.63,
